Sentence,Sentiment,sentiment_score,clean_sentence,wordlen
smug oily demeanor donovan adopt throughout stupidly name pipe dream,0.31944,3.1944,smug oili demeanor donovan adopt throughout stupidli name pipe dream,10
smug oily demeanor donovan adopt throughout stupidly name pipe dream repulsive,0.16667,1.6667,smug oili demeanor donovan adopt throughout stupidli name pipe dream repuls,11
surreal dub feature voice glenn close regis philbin breckin meyer bring back memories cheesy old godzilla flick,0.18056,1.8056,surreal dub featur voic glenn close regi philbin breckin meyer bring back memori cheesi old godzilla flick,17
solid filmmaking convince character make high water mark genre,1.0,10.0,solid filmmak convinc charact make high water mark genr,9
somber pace lack dramatic fireworks,0.26389,2.6389,somber pace lack dramat firework,5
somber pace lack dramatic fireworks make green dragon seem like medicine entertainment,0.18056,1.8056,somber pace lack dramat firework make green dragon seem like medicin entertain,12
sort film make miss hitchcock also,0.44444,4.4444,sort film make miss hitchcock also,6
sort film make miss hitchcock also feel optimistic hope popular cinema yet,0.69444,6.9444,sort film make miss hitchcock also feel optimist hope popular cinema yet,12
sort movie give tastelessness bad rap,0.083333,0.83333,sort movi give tasteless bad rap,6
deliberateness film although leaven nicely dry absurdist wit eventually become heavy plot,0.27778,2.7778,deliber film although leaven nice dri absurdist wit eventu becom heavi plot,12
sound gunfire cell phone ringing,0.5,5.0,sound gunfir cell phone ring,5
soundtrack alone worth price admission,0.83333,8.3333,soundtrack alon worth price admiss,5
soupy end result odd distinction playful without fun,0.44444,4.4444,soupi end result odd distinct play without fun,8
jean reno infuse hubert mixture deadpan cool wry humor measure tenderness require give comic slugfest heart,0.69444,6.9444,jean reno infus hubert mixtur deadpan cool wri humor measur tender requir give comic slugfest heart,16
spark special anime magic unmistakable hard resist,0.68056,6.8056,spark special anim magic unmistak hard resist,7
special effect many scenes weightlessness,0.69444,6.9444,special effect mani scene weightless,5
special effect many scenes weightlessness look good better original sound james horner rouse score make good use hefty audio system,0.77778,7.7778,special effect mani scene weightless look good better origin sound jame horner rous score make good use hefti audio system,20
star help give spark chasing amy changing lanes,0.61111,6.1111,star help give spark chase ami chang lane,8
story preposterous believe second despite best efforts everyone involve,0.16667,1.6667,stori preposter believ second despit best effort everyon involv,9
story get roll nothing short great one,0.83333,8.3333,stori get roll noth short great one,7
story alone could force scratch hole head,0.22222,2.2222,stori alon could forc scratch hole head,7
story character nowhere near grip enough,0.34722,3.4722,stori charact nowher near grip enough,6
story structure fresnadillo dark jolt image way ply subconscious like nightmare week ago away,0.55556,5.5556,stori structur fresnadillo dark jolt imag way pli subconsci like nightmar week ago away,14
story friendship proceed way watch soap opera rather chronicle up down accompany lifelong friendships,0.27778,2.7778,stori friendship proceed way watch soap opera rather chronicl accompani lifelong friendship,12
story bog mess purposeless violence,0.23611,2.3611,stori bog mess purposeless violenc,5
story drift inexorably cliches torture torture artists consume impossible love help become disappoint overwrought new sequence plod,0.30556,3.0556,stori drift inexor clich tortur tortur artist consum imposs love help becom disappoint overwrought new sequenc plod,17
story feel like serious read fill heavy dose always entice sayles dialogue,0.61111,6.1111,stori feel like seriou read fill heavi dose alway entic sayl dialogu,12
story give ample opportunity action suspense director shekhar kapur supply tremendous skill,0.875,8.75,stori give ampl opportun action suspens director shekhar kapur suppli tremend skill,12
story also unoriginal come already recycle time care count,0.31944,3.1944,stori also unorigin come alreadi recycl time care count,9
story less vibrant joke little lukewarm anyone really care,0.44444,4.4444,stori le vibrant joke littl lukewarm anyon realli care,9
story smart entirely charm intent execution,0.79167,7.9167,stori smart entir charm intent execut,6
story light sugary macy thanksgiving day parade balloon,0.51389,5.1389,stori light sugari maci thanksgiv day parad balloon,8
story light sugary macy thanksgiving day parade balloon extra rope would need keep float away,0.47222,4.7222,stori light sugari maci thanksgiv day parad balloon extra rope would need keep float away,15
story lose bite happy end even less plausible rest picture,0.11111,1.1111,stori lose bite happi end even le plausibl rest pictur,10
story lose bite happy end even less plausible rest picture much way though refreshingly novel ride,0.52778,5.2778,stori lose bite happi end even le plausibl rest pictur much way though refreshingli novel ride,16
story pass time time absurd finale twist metal,0.38889,3.8889,stori pas time time absurd final twist metal,8
story pass time time absurd finale twist metal fireballs revenge,0.30556,3.0556,stori pas time time absurd final twist metal firebal reveng,10
story suffer severe case oversimplification superficiality silliness,0.13889,1.3889,stori suffer sever case oversimplif superfici silli,7
story emerge elements romance tragedy even comedy,0.76389,7.6389,stori emerg element romanc tragedi even comedi,7
story movie tell brian palma addiction suspense tropes ruin career,0.20833,2.0833,stori movi tell brian palma addict suspens trope ruin career,10
story ultimately take hold grip hard,0.83333,8.3333,stori ultim take hold grip hard,6
strength film come cinematic recovery historical episode simple tell prove simultaneously harrow uplift,0.84722,8.472199999999999,strength film come cinemat recoveri histor episod simpl tell prove simultan harrow uplift,13
strength film lie two central performances sven wollter stricken composer viveka seldahl desperate violinist wife,0.61111,6.1111,strength film lie two central perform sven wollter stricken compos viveka seldahl desper violinist wife,15
dramatic construct austere imagery abstract character,0.54167,5.4167,dramat construct auster imageri abstract charact,6
dramatic construct austere imagery abstract character equal part poetry politics obvious time evocative heartfelt,0.48611,4.8610999999999995,dramat construct auster imageri abstract charact equal part poetri polit obviou time evoc heartfelt,14
strong subject matter continue shock throughout film,0.55556,5.5556,strong subject matter continu shock throughout film,7
strong subject matter continue shock throughout film not everyone play dark challenge tune teach the piano teacher,0.625,6.25,strong subject matter continu shock throughout film everyon play dark challeng tune teach piano teacher,15
structure film take may find matt damon ben affleck look residuals officially complete good will hunting trilogy never plan,0.625,6.25,structur film take may find matt damon ben affleck look residu offici complet good hunt trilog never plan,18
stun dreamlike visuals impress even viewers little patience pretension,0.83333,8.3333,stun dreamlik visual impress even viewer littl patienc pretens,9
stupidest insult movie first quarter,0.0,0.0,stupidest insult movi first quarter,5
